Total Directions = 624
-3.1515163085389686e-01 -3.1515163085389686e-01 -8.9518651639770486e-01  4.4193309147081097e-02
-3.1515163085389686e-01 -4.3252207344674248e-01 -8.4475091331791985e-01  3.3672267374296213e-03
-3.1515163085389686e-01 -5.2424244163122435e-01 -7.9110638473132133e-01  5.2141550114535307e-02
-3.1515163085389686e-01 -6.0215025632832386e-01 -7.3354926104104490e-01 -2.2381319432242076e-02
-3.1515163085389686e-01 -6.7107356138136198e-01 -6.7107356138136187e-01  6.5472759108330975e-02
-3.1515163085389686e-01 -7.3354926104104490e-01 -6.0215025632832386e-01 -2.2381319432242076e-02
-3.1515163085389686e-01 -7.9110638473132133e-01 -5.2424244163122447e-01  5.2141550114535307e-02
-3.1515163085389686e-01 -8.4475091331791985e-01 -4.3252207344674265e-01  3.3672267374296213e-03
-3.1515163085389686e-01 -8.9518651639770486e-01 -3.1515163085389686e-01  4.4193309147081097e-02
-3.1515163085389686e-01 -9.4292825428505256e-01 -1.0754420877514706e-01  4.4222731363916939e-02
-4.3252207344674248e-01 -1.0754420877514728e-01 -8.9518651639770486e-01  8.1639017610041359e-03
-4.3252207344674248e-01 -3.1515163085389686e-01 -8.4475091331791985e-01  3.3672267374296213e-03
-4.3252207344674248e-01 -4.3252207344674248e-01 -7.9110638473132133e-01  5.0818858132743380e-03
-4.3252207344674248e-01 -5.2424244163122435e-01 -7.3354926104104490e-01  1.2779254539113578e-03
-4.3252207344674248e-01 -6.0215025632832386e-01 -6.7107356138136198e-01  3.5877555271087249e-03
-4.3252207344674248e-01 -6.7107356138136198e-01 -6.0215025632832375e-01  3.5877555271087249e-03
-4.3252207344674248e-01 -7.3354926104104490e-01 -5.2424244163122435e-01  1.2779254539113578e-03
-4.3252207344674248e-01 -7.9110638473132133e-01 -4.3252207344674248e-01  5.0818858132743380e-03
-4.3252207344674248e-01 -8.4475091331791985e-01 -3.1515163085389702e-01  3.3672267374296213e-03
-4.3252207344674248e-01 -8.9518651639770486e-01 -1.0754420877514706e-01  8.1639017610041359e-03
-5.2424244163122435e-01 -1.0754420877514728e-01 -8.4475091331791996e-01  4.0824598774192533e-02
-5.2424244163122435e-01 -3.1515163085389686e-01 -7.9110638473132133e-01  5.2141550114535307e-02
-5.2424244163122435e-01 -4.3252207344674248e-01 -7.3354926104104490e-01  1.2779254539113578e-03
-5.2424244163122435e-01 -5.2424244163122435e-01 -6.7107356138136198e-01  5.3245585504829052e-02
-5.2424244163122435e-01 -6.0215025632832386e-01 -6.0215025632832397e-01 -1.0127325975136032e-02
-5.2424244163122435e-01 -6.7107356138136198e-01 -5.2424244163122435e-01  5.3245585504829052e-02
-5.2424244163122435e-01 -7.3354926104104490e-01 -4.3252207344674248e-01  1.2779254539113578e-03
-5.2424244163122435e-01 -7.9110638473132133e-01 -3.1515163085389702e-01  5.2141550114535307e-02
-5.2424244163122435e-01 -8.4475091331791985e-01 -1.0754420877514809e-01  4.0824598774192533e-02
-6.0215025632832386e-01 -1.0754420877514728e-01 -7.9110638473132133e-01  2.2993027629186853e-03
-6.0215025632832386e-01 -3.1515163085389686e-01 -7.3354926104104490e-01 -2.2381319432242076e-02
-6.0215025632832386e-01 -4.3252207344674248e-01 -6.7107356138136198e-01  3.5877555271087249e-03
-6.0215025632832386e-01 -5.2424244163122435e-01 -6.0215025632832397e-01 -1.0127325975136032e-02
-6.0215025632832386e-01 -6.0215025632832386e-01 -5.2424244163122447e-01 -1.0127325975136032e-02
-6.0215025632832386e-01 -6.7107356138136198e-01 -4.3252207344674243e-01  3.5877555271087249e-03
-6.0215025632832386e-01 -7.3354926104104490e-01 -3.1515163085389686e-01 -2.2381319432242076e-02
-6.0215025632832386e-01 -7.9110638473132133e-01 -1.0754420877514757e-01  2.2993027629186853e-03
-6.7107356138136198e-01 -1.0754420877514728e-01 -7.3354926104104479e-01  2.6170982822198232e-02
-6.7107356138136198e-01 -3.1515163085389686e-01 -6.7107356138136187e-01  6.5472759108330975e-02
-6.7107356138136198e-01 -4.3252207344674248e-01 -6.0215025632832375e-01  3.5877555271087249e-03
-6.7107356138136198e-01 -5.2424244163122435e-01 -5.2424244163122435e-01  5.3245585504829052e-02
-6.7107356138136198e-01 -6.0215025632832386e-01 -4.3252207344674237e-01  3.5877555271087249e-03
-6.7107356138136198e-01 -6.7107356138136198e-01 -3.1515163085389658e-01  6.5472759108330975e-02
-6.7107356138136198e-01 -7.3354926104104490e-01 -1.0754420877514653e-01  2.6170982822198232e-02
-7.3354926104104490e-01 -1.0754420877514728e-01 -6.7107356138136187e-01  2.6170982822198232e-02
-7.3354926104104490e-01 -3.1515163085389686e-01 -6.0215025632832386e-01 -2.2381319432242076e-02
-7.3354926104104490e-01 -4.3252207344674248e-01 -5.2424244163122435e-01  1.2779254539113578e-03
-7.3354926104104490e-01 -5.2424244163122435e-01 -4.3252207344674248e-01  1.2779254539113578e-03
-7.3354926104104490e-01 -6.0215025632832386e-01 -3.1515163085389686e-01 -2.2381319432242076e-02
-7.3354926104104490e-01 -6.7107356138136198e-01 -1.0754420877514680e-01  2.6170982822198232e-02
-7.9110638473132133e-01 -1.0754420877514728e-01 -6.0215025632832386e-01  2.2993027629186853e-03
-7.9110638473132133e-01 -3.1515163085389686e-01 -5.2424244163122447e-01  5.2141550114535307e-02
-7.9110638473132133e-01 -4.3252207344674248e-01 -4.3252207344674254e-01  5.0818858132743380e-03
-7.9110638473132133e-01 -5.2424244163122435e-01 -3.1515163085389702e-01  5.2141550114535307e-02
-7.9110638473132133e-01 -6.0215025632832386e-01 -1.0754420877514757e-01  2.2993027629186853e-03
-8.4475091331791985e-01 -1.0754420877514728e-01 -5.2424244163122447e-01  4.0824598774192533e-02
-8.4475091331791985e-01 -3.1515163085389686e-01 -4.3252207344674265e-01  3.3672267374296213e-03
-8.4475091331791985e-01 -4.3252207344674248e-01 -3.1515163085389708e-01  3.3672267374296213e-03
-8.4475091331791985e-01 -5.2424244163122435e-01 -1.0754420877514809e-01  4.0824598774192533e-02
-8.9518651639770486e-01 -1.0754420877514728e-01 -4.3252207344674243e-01  8.1639017610041359e-03
-8.9518651639770486e-01 -3.1515163085389686e-01 -3.1515163085389686e-01  4.4193309147081097e-02
-8.9518651639770486e-01 -4.3252207344674248e-01 -1.0754420877514718e-01  8.1639017610041359e-03
-9.4292825428505256e-01 -1.0754420877514728e-01 -3.1515163085389675e-01  4.4222731363916939e-02
-9.4292825428505256e-01 -3.1515163085389686e-01 -1.0754420877514706e-01  4.4222731363916939e-02
-9.8836657486878576e-01 -1.0754420877514728e-01 -1.0754420877514734e-01  4.6383250229972493e-02
